name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
aandhiyan,1990,145,Drama,4.8,38,David Dhawan,mumtaz,prasenjit chatterjee,madhushree
aani maani,2019,94,Drama,6.6,15,Fahim Irshad,farrukh seyer,priyanka verma,neha singh
aankhen,1993,170,"Action, Comedy, Crime",6.7,1898,David Dhawan,govinda,chunky panday,raj babbar
aankhen,2002,165,"Crime, Drama, Thriller",7.4,12574,Vipul Amrutlal Shah,amitabh bachchan,akshay kumar,sushmita sen
aankhon aankhon mein,1972,154,"Drama, Romance",6.4,28,Raghunath Jhalani,rakhee gulzar,rakesh roshan,achala sachdev
aansoo aur muskan,1970,150,"Comedy, Drama, Family",6.5,24,P. Madhavan,hema malini,parikshit sahni,jagdeep
aao pyaar karen,1994,141,Romance,4.2,160,Ravindra Peepat,saif ali khan,shilpa shetty kundra,somy ali
aao wish karein,2009,140,"Comedy, Family, Fantasy",5.1,584,Glen Barreto,aftab shivdasani,aamna sharif,rati agnihotri
aap aye bahaar ayee,1971,119,"Comedy, Drama, Romance",6.6,80,Mohan Kumar,rajendra kumar,sadhana,prem chopra
aap beati,1976,145,"Drama, Family",5.7,32,Mohan Kumar,shashi kapoor,hema malini,ashok kumar
aap ki kasam,1974,153,"Romance, Drama",7.0,420,J. Om Prakash,rajesh khanna,mumtaz,sanjeev kumar
aap ki khatir,1977,115,"Action, Comedy, Drama",6.3,27,Sudhendu Roy,vinod khanna,rekha,nadira
aap ki khatir,2006,122,"Comedy, Romance",3.6,863,Dharmesh Darshan,akshaye khanna,priyanka chopra jonas,ameesha patel
aap ki parchhaiyan,1964,128,"Drama, Family, Romance",6.3,39,Mohan Kumar,dharmendra,supriya choudhury,vijayalaxmi
aap mujhe achche lagne lage,2002,180,"Action, Drama, Romance",3.1,2366,Vikram Bhatt,hrithik roshan,ameesha patel,kiran kumar
aap to aise na the,1980,145,"Romance, Drama, Family",5.6,38,Ambrish Sangal,raj babbar,ranjeeta kaur,deepak parashar
aapas ki baat,1981,148,"Action, Romance",5.2,17,Harmesh Malhotra,poonam dhillon,raj babbar,shakti kapoor
aapko pehle bhi kahin dekha hai,2003,145,"Action, Comedy, Drama",4.5,273,Anubhav Sinha,priyanshu chatterjee,sakshi shivanand,farida jalal
aar paar,1985,125,Action,6.1,44,Shakti Samanta,mithun chakraborty,rozina,utpal dutt
aar ya paar,1997,180,Thriller,6.1,230,Ketan Mehta,jackie shroff,deepa sahi,ritu shivpuri
aarakshan,2011,164,"Drama, Thriller",6.2,5170,Prakash Jha,amitabh bachchan,saif ali khan,manoj bajpayee
aaravalli,1957,210,Horror,5.9,7,Varalakshmi G.,,,
aarop,1974,129,Drama,6.7,13,Atma Ram,vinod khanna,saira banu,vinod mehra
aar-paar,1954,146,"Musical, Romance, Thriller",6.6,250,Guru Dutt,shyama,guru dutt,jagdish sethi
aarti,1962,156,"Family, Musical, Romance",6.6,67,Phani Majumdar,ashok kumar,meena kumari,pradeep kumar
aarya,2007,157,"Action, Drama, Romance",4.6,191,Balasekaran,bhavana,madhavan,prakash raj
aarzoo,1999,175,"Drama, Romance",5.4,1445,Lawrence D'Souza,madhuri dixit,akshay kumar,saif ali khan
aasha,1957,171,"Comedy, Romance",6.5,23,M.V. Raman,vyjayanthimala,kishore kumar,pran
aasha,1980,123,"Drama, Musical, Romance",5.3,199,J. Om Prakash,jeetendra,reena roy,rameshwari
aashayein,2010,120,Drama,7.1,1259,Nagesh Kukunoor,john abraham,anaitha nair,girish karnad
aashiq,1962,150,Romance,6.7,64,Hrishikesh Mukherjee,raj kapoor,padmini,nanda
aashiq,2001,160,"Action, Drama, Romance",3.8,403,Indra Kumar,bobby deol,karisma kapoor,rahul dev
aashiq banaya aapne: love takes over,2005,115,"Drama, Romance, Thriller",4.3,1569,Aditya Datt,emraan hashmi,tanushree dutta,sonu sood
aashiq hoon baharon ka,1977,136,Romance,5.5,85,J. Om Prakash,rajesh khanna,zeenat aman,danny denzongpa
aashiqui,1990,152,"Musical, Drama, Romance",6.3,1661,Mahesh Bhatt,rahul roy,anu agrawal,avtar gill
aashiqui 2,2013,132,"Drama, Music, Musical",7.0,27357,Mohit Suri,aditya roy kapoor,shraddha kapoor,shaad randhawa
aashiqui.in,2011,109,"Drama, Romance",3.7,61,Shankhadeep,shubhi ahuja,amit dhamija,preeti gandwani
aashirwad,1968,146,Drama,7.3,203,Hrishikesh Mukherjee,ashok kumar,sanjeev kumar,sumita sanyal
aashmani jawaharat,2014,132,Drama,6.1,10,Sriparna Dey,anamitra roy,anamitra roy,yovik
aasma,2018,105,"Action, Crime, Drama",5.2,8,Sudipto Sen,subrat dutta,ameet gaurr,sunny hinduja
aasma: the sky is the limit,2009,240,Drama,3.8,46,Rohit Krishnakant Nayyar,hrishitaa bhatt,seema biswas,nauheed cyrusi
aasmaan,1984,145,"Drama, Mystery",4.8,12,Tony Juneja,rajiv kapoor,divya rana,tina ambani
aasmaan mahal,1965,172,Drama,5.5,6,Khwaja Ahmad Abbas,prithviraj kapoor,dilip roy,surekha
aasmaan se gira,1992,88,"Adventure, Comedy, Romance",6.8,56,Pankaj Parashar,abhishek chitlangia,raghuvir yadav,anupam kher
aasoo bane angaarey,1993,150,Action,4.5,88,Mehul Kumar,jeetendra,madhuri dixit,kiran kumar
aasra,1966,161,"Drama, Family",7.2,32,Satyen Bose,mala sinha,biswajit chatterjee,balraj sahni
